"Survey ID",Country,"Survey date",Age,Gender,State/Province,"Did you receive aid?","Did you need aid?","Aid type: Cash/vouchers","Aid type: Food","Aid type: Water/sanitation","Aid type: Shelter","Aid type: Medical","Aid type: Household items","Aid type: Children's Education","Aid type: Seeds/tools","Aid type: Protection","Aid provider: Local authorities","Aid provider: National NGO","Aid provider: International NGO","Aid provider: Red Cross/Crescent Society","Aid provider: UN agency","Aid provider: ICRC","Aid provider: Religious group","Aid provider: Military group","Aid provider: Local business","Aid provider: DONT KNOW","Did aid cover basic needs?","Difficulty receiving aid: Too far away","Difficulty receiving aid: Unsafe for people to reach","Difficulty receiving aid:  Local officials took it","Difficulty receiving aid: Military took it","No difficulty receiving aid","IDK if any difficulty","Does aid reach where it is needed most?","Main access obstacle: Unsafe for aidworkers","Main access obstacle: Poor roads","Main access obstacle:Government restrictions","Main access obstacle: Other military restrictions","Main access obstacle: Most affected areas not prioritized","No access obstacles","Aid provider type most able to reach people in need: government","Aid provider type most able to reach people in need: National NGOs","Aid provider type most able to reach people in need: INGOs","Aid provider type most able to reach people in need: Red Cross/Crescent","Aid provider type most able to reach people in need: UN agencies","Aid provider type most able to reach people in need: ICRC","Aid provider type most able to reach people in need: Religious groups","Aid provider type most able to reach people in need:  Military groups","Aid provider type most able to reach people in need:  Local businesses","IDK who's most able to reach people in need","Most present government provider","Most present government provider2","Most present INGO","Most present INGO2","Most present national NGO","Most present national NGO2","Most present UN aid provider","Most present UN aid provider2","To improve reach: Work through local businesses?","To  improve reach: Work with local [church/mosque]?","To improve reach: Work with the local authorities","To improve reach: Negotiate with armed groups","To improve reach: Consult more with our community","What would improve reach: Be more respectful of our customs","Other potential aid providers: Local businesses [vouchers]","Other potential aid providers: Local councils","Other potential aid providers: Government","Other potential aid providers: Military","Other potential aid providers: Religious group","Other potential aid providers: Truckingtransport company","Other potential aid providers: other ","Change in aid presence","Why is aid presence changing?"
UPS1361515366795967398,Palestine,"February 4-February 17, 2024",48,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Not at all",No,No,No,No,Yes,No,"Mostly yes",No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,None,,"World Central Kitchen","I don't know","I don't know",,UNRWA,WFP,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,"DONT KNOW",N/A
UPS-145186682504220899,Palestine,"February 4-February 17, 2024",45,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",Yes,Yes,No,No,No,No,"Yes - very much",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"Save the Children","I don't know","I don't know",,"UNRWA  ",WFP,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-1459485724060129251,Palestine,"February 4-February 17, 2024",25,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,No,"Not really",Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,None,,None,,None,,None,,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,"Reduced a lot","Due to the theft of aids by those in charge and also by armed groups"
UPS-1473721228832673200,Palestine,"February 4-February 17, 2024",32,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,"Not at all",No,Yes,Yes,Yes,No,No,"Not at all",Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,None,,None,,None,,None,,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,"Reduced a lot","Due to the presence of armed groups surrounding the aid trucks, firing at children for taking food, and no security from Hamas groups who steal food and everything, suppressing our voice. Their presence has decreased a lot."
UPS-1486187158847439552,Palestine,"February 4-February 17, 2024",30,FEMALE,"NORTH GAZA GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,"Mostly yes",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"I don't know",,"I don't know",,"I don't know",,WFP,UNRWA,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Reduced a lot","Due to the martyrdom of people and the lack of money to offer"
UPS1514437746463707606,Palestine,"February 4-February 17, 2024",36,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,"DON'T KNOW",No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,"I don't know",,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"DONT KNOW",N/A
UPS-1514554026402581860,Palestine,"February 4-February 17, 2024",45,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Not at all",Yes,No,Yes,Yes,No,No,"Mostly yes",Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"Ministry of Social Development ","I don't know","I don't know",,"I don't know",,None,,No,No,No,No,No,No,No,No,No,No,No,No,No,Reduced,"I don't know"
UPS1522003341802644997,Palestine,"February 4-February 17, 2024",30,FEMALE,"GAZA GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,"Not really",No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,"I don't know",,CHF,"I don't know","Catholic Relief Services (CRS)","I don't know",UNRWA,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"DONT KNOW",N/A
UPS1534061338198971399,Palestine,"February 4-February 17, 2024",29,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Mostly yes",No,No,No,No,No,Yes,"Not at all",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-1597470179065910319,Palestine,"February 4-February 17, 2024",42,FEMALE,"DEIR AL-BALAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"Not at all",Yes,Yes,No,No,No,No,"Not really",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Ministry of Social Development ",None,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Reduced a lot","The aids reach certain people... not all the needy"
UPS-1627262478340162208,Palestine,"February 4-February 17, 2024",24,FEMALE,"RAFAH GOVERNORATE",YES,YES,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,"Not really",No,No,No,Yes,No,No,"Not at all",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"Red Crescent Society of the United Arab Emirates","I don't know","Palestine Red Crescent Society","I don't know",UNRWA,WFP,No,No,No,No,No,No,No,No,No,No,No,No,No,Increased,"Because there is more supervision on them and the number of displaced people has increased a lot"
UPS1664186333939405763,Palestine,"February 4-February 17, 2024",25,FEMALE,"KHAN YUNIS GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,"Not at all",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,"I don't know",,"I don't know",,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-1704472198261956582,Palestine,"February 4-February 17, 2024",30,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Not at all",No,No,No,No,Yes,No,"Not at all",No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,None,,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-1740797879680929502,Palestine,"February 4-February 17, 2024",45,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Not at all",Yes,Yes,No,No,No,No,"Yes - very much",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Kuwaiti institutions",Qatar,None,,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-1749247540946083267,Palestine,"February 4-February 17, 2024",42,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,"Not at all",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,"I don't know",,"I don't know",,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"DONT KNOW",N/A
UPS-1752759546781235720,Palestine,"February 4-February 17, 2024",23,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not really",Yes,Yes,No,No,No,No,"DON'T KNOW",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Ministry of Social Development ","I don't know","I don't know",,"Palestinian Orphan Home","I don't know",UNRWA,WFP,No,No,No,No,No,No,No,No,No,No,No,No,No,"DONT KNOW",N/A
UPS1753692622719911127,Palestine,"February 4-February 17, 2024",39,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",Yes,Yes,Yes,Yes,No,No,"Not at all",No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,None,,None,,None,,None,,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,"Neutral/stayed the same",N/A
UPS1779460230145265452,Palestine,"February 4-February 17, 2024",31,FEMALE,"DEIR AL-BALAH GOVERNORATE",YES,YES,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"Mostly yes",Yes,Yes,No,No,No,No,"Mostly yes",No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,None,,"Popular Front for the Liberation of Palestine","Human Appeal","AWDA Health & Community Association","Mohammed Dahlan",UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Reduced,"Maybe because most of the aids are sold in the markets, and the occupation prevents some trucks from entering."
UPS1792761338782499545,Palestine,"February 4-February 17, 2024",65,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",No,Yes,Yes,No,No,No,"Not really",Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,None,,None,,None,,None,,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,"Neutral/stayed the same",N/A
UPS1808556756437216122,Palestine,"February 4-February 17, 2024",50,FEMALE,"RAFAH GOVERNORATE",YES,YES,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,"Not at all",Yes,No,No,No,No,No,"Mostly yes",No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,"I don't know",,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Reduced,"There are no aids crossing the border, and they are not sufficient for everyone"
UPS1822471786913652161,Palestine,"February 4-February 17, 2024",35,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Mostly yes",Yes,Yes,No,No,No,No,Neutral,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,"MA'AN Development Center","MA'AN Development Center",UNRWA,,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,"Neutral/stayed the same",N/A
UPS-1842965944678698728,Palestine,"February 4-February 17, 2024",30,FEMALE,"DEIR AL-BALAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"Mostly yes",No,No,Yes,No,No,No,"Not really",Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,"Ministry of Social Development ","I don't know","I don't know",,"El Salah Association","I don't know",UNRWA,,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Reduced,"Because there are thefts of the aids provided by traders and they are sold at high prices to the citizens"
UPS-1843311615569248885,Palestine,"February 4-February 17, 2024",53,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,"Not at all",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"Catholic Relief Services (CRS)",CHF,"Mubaderon for help","The Culture and Free Thought Association-CFTA ",UNRWA,,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Increased,"I don't know"
UPS1867323939702938843,Palestine,"February 4-February 17, 2024",37,FEMALE,"DEIR AL-BALAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"Not at all",Yes,Yes,Yes,Yes,No,No,"Mostly yes",No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,None,,None,,None,,"UNRWA ",UNICEF,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,"Neutral/stayed the same",N/A
UPS-1883473285588526024,Palestine,"February 4-February 17, 2024",53,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,"Not at all",No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,"I don't know",,Oxfam,CHF,"I don't know",,UNICEF,,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,"DONT KNOW",N/A
UPS1903112664357294090,Palestine,"February 4-February 17, 2024",35,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"Not at all",No,No,No,No,No,Yes,"Not really",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"I don't know",,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"DONT KNOW",N/A
UPS1909311692830037218,Palestine,"February 4-February 17, 2024",42,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not really",Yes,Yes,No,No,No,No,"Not really",Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,"I don't know",,"I don't know",,"Al-Rahma Charitable Society","Al-Walaa Charity",WFP,,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,"Increased a lot","The number of aid distributors has increased due to the increase in displaced people"
UPS-191644912613543775,Palestine,"February 4-February 17, 2024",48,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Not really",No,No,No,No,No,Yes,"Mostly yes",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"World Central Kitchen","I don't know","I don't know",,UNRWA,,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,"Reduced a lot","They take them for themselves and might sell them"
UPS196843149230371821,Palestine,"February 4-February 17, 2024",43,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"Mostly yes",Yes,No,No,No,No,No,"Yes - very much",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Ministry of Social Development ",None,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"DONT KNOW",N/A
UPS1980400187826542398,Palestine,"February 4-February 17, 2024",20,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,"Not at all",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"The Egyptian Red Crescent","I don't know","I don't know",,"I don't know",,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,"Neutral/stayed the same",N/A
UPS2015606596542915479,Palestine,"February 4-February 17, 2024",22,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,"Mostly yes",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,"I don't know",,"I don't know",,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-2019343359383455637,Palestine,"February 4-February 17, 2024",38,FEMALE,"GAZA GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Mostly yes",No,No,No,No,No,Yes,"Not at all",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,"I don't know",,"I don't know",,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-2053676530981191578,Palestine,"February 4-February 17, 2024",41,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",No,No,No,No,No,Yes,"DON'T KNOW",No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,None,,None,,"MA'AN Development Center","I don't know",UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,No,"DONT KNOW",N/A
UPS2070082366553998873,Palestine,"February 4-February 17, 2024",62,FEMALE,"GAZA GOVERNORATE",YES,YES,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",Yes,Yes,Yes,No,No,No,"Not at all",Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,None,,None,,None,,None,,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,"Reduced a lot","No aids come at all, and no one asks about us. We need a lot of food and household items that we need, which are stolen by those in charge. There is no institution now doing its job"
UPS-2077652217598549038,Palestine,"February 4-February 17, 2024",28,FEMALE,"DEIR AL-BALAH GOVERNORATE",YES,YES,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,"Not really",No,Yes,No,No,No,No,"Yes - very much",No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"I don't know",,"I don't know",,"I don't know",,UNICEF,FAO,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Reduced a lot","There are no open crossings."
UPS-2091410551710150094,Palestine,"February 4-February 17, 2024",26,FEMALE,"KHAN YUNIS GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Not at all",Yes,No,Yes,No,No,No,"Not at all",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"Red Crescent Society of the United Arab Emirates","Egyptian Red Crescent","I don't know",,"I don't know",,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Neutral/stayed the same",N/A
UPS2119263051893378232,Palestine,"February 4-February 17, 2024",18,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,No,"Not at all",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,"United Arab Emirates","Saudi Arabia",None,,None,,None,,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,"Reduced a lot","Because the aids are seized and stolen. They take our names for assistance, but nothing reaches us. The people who distribute are not responsible enough."
UPS2216495100864649100,Palestine,"February 4-February 17, 2024",20,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",Yes,Yes,Yes,No,No,No,"Not really",Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,"Ministry of education","I don't know","I don't know",,"I don't know",,"UNRWA ",UNICEF,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Reduced,"Due to the scarcity of aid entering and because the aid is not distributed to all areas due to insecurity. The aid is not distributed fairly to everyone, and there is too little to meet everyone's needs."
